
2024-09-26 17:21:46,284: Key.delete
2024-09-26 17:21:50,972: Key.delete
2024-09-26 17:21:57,815: Key.esc
2024-09-26 17:22:35,468: Key.backspace
2024-09-26 17:22:57,022: Key.caps_lock
2024-09-26 17:22:57,588: h
2024-09-26 17:22:57,786: Key.caps_lock
2024-09-26 17:22:58,247: e
2024-09-26 17:22:58,991: l
2024-09-26 17:22:59,211: l
2024-09-26 17:22:59,451: o
2024-09-26 17:22:59,806: Key.space
2024-09-26 17:23:00,060: Key.caps_lock
2024-09-26 17:23:00,476: w
2024-09-26 17:23:00,786: Key.caps_lock
2024-09-26 17:23:01,025: o
2024-09-26 17:23:01,280: r
2024-09-26 17:23:01,535: l
2024-09-26 17:23:01,755: d
2024-09-26 17:23:02,379: Key.shift_r
2024-09-26 17:23:02,650: !
2024-09-26 17:23:02,875: !
2024-09-26 17:23:03,104: !
2024-09-26 17:23:03,815: Key.enter
2024-09-26 17:23:04,724: Key.caps_lock
2024-09-26 17:23:05,234: t
2024-09-26 17:23:05,586: Key.caps_lock
2024-09-26 17:23:05,919: h
2024-09-26 17:23:06,199: i
2024-09-26 17:23:06,453: s
2024-09-26 17:23:06,738: Key.space
2024-09-26 17:23:06,988: Key.caps_lock
2024-09-26 17:23:07,758: Key.caps_lock
2024-09-26 17:23:09,368: i
2024-09-26 17:23:09,569: s
2024-09-26 17:23:10,057: Key.space
2024-09-26 17:23:10,273: Key.caps_lock
2024-09-26 17:23:10,937: a
2024-09-26 17:23:11,152: Key.caps_lock
2024-09-26 17:23:11,538: n
2024-09-26 17:23:11,821: u
2024-09-26 17:23:12,073: j
2024-09-26 17:23:12,207: a
2024-09-26 17:23:12,472: Key.space
2024-09-26 17:23:12,637: Key.caps_lock
2024-09-26 17:23:13,061: t
2024-09-26 17:23:13,342: Key.caps_lock
2024-09-26 17:23:13,671: e
2024-09-26 17:23:14,222: h
2024-09-26 17:23:14,532: r
2024-09-26 17:23:14,736: a
2024-09-26 17:23:33,592: Key.ctrl_l
2024-09-26 17:23:33,821: 
2024-09-26 17:23:37,970: Key.esc
